time,indoor_temperature
2025-11-09 07:15:00,20.578197
2025-11-09 07:30:00,20.9452
2025-11-09 07:45:00,21.300016
2025-11-09 08:00:00,21.649654
2025-11-09 08:15:00,22.04959
2025-11-09 08:30:00,22.492434
2025-11-09 08:45:00,23.015877
2025-11-09 09:00:00,23.5726
2025-11-09 09:15:00,24.13318
2025-11-09 09:30:00,24.60678
2025-11-09 09:45:00,25.223545
2025-11-09 10:00:00,26.00616
2025-11-09 10:15:00,27.033205
2025-11-09 10:30:00,27.646408
2025-11-09 10:45:00,27.649723
2025-11-09 11:00:00,27.804247
2025-11-09 11:15:00,28.054913
2025-11-09 11:30:00,28.550339
2025-11-09 11:45:00,28.988834
2025-11-09 12:00:00,29.284386
2025-11-09 12:15:00,29.448336
2025-11-09 12:30:00,29.54014
2025-11-09 12:45:00,29.589474
2025-11-09 13:00:00,29.665997
2025-11-09 13:15:00,29.849197
2025-11-09 13:30:00,29.92379
2025-11-09 13:45:00,29.87463
2025-11-09 14:00:00,29.838648
2025-11-09 14:15:00,29.842213
2025-11-09 14:30:00,29.849773
2025-11-09 14:45:00,29.852684
2025-11-09 15:00:00,29.836473
2025-11-09 15:15:00,29.808199
2025-11-09 15:30:00,29.751743
2025-11-09 15:45:00,29.656658
2025-11-09 16:00:00,29.52347
2025-11-09 16:15:00,29.257557
2025-11-09 16:30:00,28.825905
2025-11-09 16:45:00,28.061638
2025-11-09 17:00:00,26.665194
2025-11-09 17:15:00,25.782722
2025-11-09 17:30:00,25.269083
2025-11-09 17:45:00,24.90719
2025-11-09 18:00:00,24.653645
2025-11-09 18:15:00,24.577425
2025-11-09 18:30:00,24.510872
2025-11-09 18:45:00,24.370121
2025-11-09 19:00:00,24.259796
2025-11-09 19:15:00,24.165852
2025-11-09 19:30:00,24.079426
2025-11-09 19:45:00,23.959068
2025-11-09 20:00:00,23.705685
2025-11-09 20:15:00,23.25792
2025-11-09 20:30:00,22.940239
2025-11-09 20:45:00,22.799376
2025-11-09 21:00:00,22.699993
2025-11-09 21:15:00,22.56738
2025-11-09 21:30:00,22.462118
2025-11-09 21:45:00,22.458532
2025-11-09 22:00:00,22.50464
2025-11-09 22:15:00,22.430098
2025-11-09 22:30:00,22.275908
2025-11-09 22:45:00,22.059645
2025-11-09 23:00:00,21.80571
2025-11-09 23:15:00,21.652971
2025-11-09 23:30:00,21.571383
2025-11-09 23:45:00,21.516184
